ORF.1	ORF.2
YPL101W	YBR041W
YOR004W	YOR087W
YKR007W	YNL118C
YOR069W	YNL255C
YLR262C	YDL047W
YHR170W	YKR088C
YDL019C	YBL056W
YBL051C	YIL127C
YMR272C	YLR454W
YMR231W	YLR248W
YML112W	YDR202C
YGL014W	YBR004C
YLR420W	YFL048C
YKR035W-A	YOR270C
YPL043W	YNL281W
YBR216C	YGR128C
YOR316C	YER090W
YNL135C	YJR060W
YBR041W	YML106W
YBL039C	YIL033C
YDL002C	YLR237W
YNL197C	YGR106C
YAR042W	YLR172C
YLR110C	YCR043C
YER035W	YPL116W
YKL096W-A	YMR229C
YBR283C	YBR041W
YOR259C	YJL109C
YLR454W	YJR042W
YDR202C	YNL265C
YGR037C	YPL186C
YIR012W	YBL007C
YDL125C	YJL151C
YER157W	YPL263C
YPL043W	YKL008C
YER136W	YDR063W
YDR166C	YPR036W
YLR350W	YNL091W
YAL026C	YNL265C
YDR293C	YHR122W
YDR034W-B	YBR265W
YBR041W	YGL242C
YLL011W	YLR033W
YOL061W	YML057W
YNL130C	YPR139C
YLR006C	YMR229C
YIR012W	YPR128C
YGR048W	YNL002C
YHR083W	YPL116W
YLR088W	YHR052W
YGR138C	YJL020C
YHR027C	YNL290W
YLR450W	YDR063W
YPL186C	YDR293C
YMR125W	YNR051C
YDR068W	YKL190W
YGR163W	YMR152W
YPR029C	YIL062C
YLL021W	YBL011W
YKR097W	YER159C
YKL002W	YLR237W
YKL140W	YLR450W
YGL043W	YER136W
YLR113W	YDR507C
YFR021W	YLR270W
YGL153W	YGL137W
YGR054W	YIL043C
YLR027C	YGR103W
YDL058W	YDR321W
YBR102C	YBR004C
YOR004W	YMR149W
YKL051W	YOR270C
YKL165C	YDR388W
YOR165W	YBL029C-A
YJR060W	YBR256C
YLR100W	YBR004C
YNL265C	YGR178C
YDR129C	YML056C
YOL077C	YKL096W-A
YGL070C	YLL001W
YFR021W	YHR096C
YDL236W	YLR319C
YEL017W	YDR331W
YML086C	YGR281W
YMR140W	YJR068W
YMR054W	YIL047C
YGL020C	YHR003C
YBL011W	YPL127C
YLR270W	YLR450W
YDL192W	YOR104W
YJL006C	YLR350W
YER063W	YGR065C
YFL005W	YER056C
YJR125C	YHR027C
YDL052C	YCR043C
YJL164C	YJR118C
YHR094C	YDL235C
YFR051C	YBL071W-A
YDR497C	YLR100W
YGR280C	YAL029C
YJR076C	YBR154C
YHL007C	YPR016C
YNL084C	YMR238W
YKL181W	YGR065C
YKL145W	YBL051C
YPL112C	YIL034C
YIR012W	YHR170W
YBR002C	YMR231W
YKR023W	YIR037W
YDR293C	YDR101C
YNL110C	YDL147W
YBR283C	YDL029W
YIL068C	YDR100W
YOR027W	YKR058W
YDR501W	YFL036W
YLR360W	YDR320C
YNL283C	YPL119C
YAL026C	YOL012C
YHR063C	YBR244W
YNL255C	YPL195W
YML075C	YHR063C
YOL105C	YGL011C
YPL086C	YGL049C
YER020W	YJL154C
YBR009C	YPR138C
YDR497C	YKL041W
YOR087W	YKL002W
YLR350W	YGL213C
YOR133W	YBR130C
YNL110C	YPR010C
YLR332W	YER056C
YIL062C	YHR133C
YDL135C	YGL019W
YJL151C	YER063W
YOR069W	YOR104W
YNR052C	YKL080W
YOR069W	YGL242C
YHR001W	YCR009C
YPR062W	YOR259C
YIL047C	YJR117W
YEL015W	YKL094W
YHR083W	YDR189W
YGL195W	YKL068W
YIL035C	YMR272C
YDR497C	YKR058W
YOL137W	YDL160C
YKL008C	YAL041W
YDL204W	YDL131W
YDR068W	YIR038C
YDL235C	YOR181W
YGL023C	YDL215C
YLR027C	YLR328W
YPL086C	YPR079W
YDL058W	YKL193C
YLL011W	YOL100W
YML101C	YLR025W
YDR092W	YNL130C
YNL190W	YIL009W
YEL051W	YAR002W
YJL153C	YFR003C
YKL067W	YBR041W
YOL129W	YOR259C
YBR283C	YLR191W
YER035W	YDR152W
YKL057C	YCR043C
YGL049C	YGR277C
YDR379W	YKL165C
YJL148W	YIL143C
YJR010C-A	YKL004W
YOR132W	YFL038C
YNL323W	YDR284C
YBL051C	YPL094C
YLR144C	YFL038C
YML075C	YPL227C
YGL213C	YGL029W
YLR191W	YDR381C-A
YDR321W	YGR005C
YGL120C	YJR125C
YBL033C	YDR352W
YIL034C	YLR347C
YKL057C	YLR248W
YGR119C	YNL084C
YGR048W	YPR036W
YGL049C	YPL127C
YML016C	YLL022C
YBR265W	YLR449W
YDR100W	YHR003C
YMR292W	YGL070C
YMR238W	YIR012W
YER159C	YLR113W
YOR323C	YPR189W
YGL153W	YML106W
YGR037C	YCL039W
YMR139W	YGL084C
YBR036C	YDR032C
YGR169C-A	YER159C
YMR004W	YGR119C
YNL153C	YKR035W-A
YLR100W	YKL190W
YPR055W	YNL283C
YKL004W	YIL115C
YDL058W	YER099C
YGL043W	YIL127C
YHR027C	YER002W
YDR166C	YOR016C
YHR158C	YNL322C
YDR297W	YGL070C
YMR292W	YHR094C
YIR001C	YKR092C
YDL224C	YHR052W
YKL057C	YHR074W
YOR089C	YJL036W
YBL033C	YJL151C
YPL116W	YMR047C
YLR330W	YLR025W
YGR280C	YER126C
YPL265W	YDR170C
YKL140W	YGR250C
YDR100W	YER020W
YKL193C	YPL227C
YGR036C	YML017W
YER023W	YLR100W
YBR200W	YLR170C
YLR454W	YDR092W
YKL145W	YIL035C
YGR121C	YKL078W
YMR292W	YDL235C
YDR105C	YEL017W
YNR051C	YDR101C
YML001W	YJL005W
YDR427W	YJL154C
YMR096W	YDR378C
YOR061W	YDR264C
YHL011C	YNL243W
YNR049C	YJR060W
YBR036C	YLR330W
YKL054C	YJR010C-A
YGR250C	YKL054C
YLR028C	YKL004W
YOR089C	YDL147W
YJR076C	YAR002W
YOL077C	YLR447C
YDR141C	YJL109C
YOR004W	YML057W
YPL221W	YHR096C
YMR120C	YMR109W
YNL118C	YGR183C
YBR244W	YBR154C
YLR326W	YGL055W
YFR021W	YPL195W
YNL153C	YKL054C
YLL043W	YOR326W
YNL197C	YHR188C
YHR074W	YJR040W
YPL265W	YGR163W
YPL091W	YNL064C
YML101C	YMR139W
YBR106W	YAL041W
YLL034C	YGL210W
YOR341W	YHR175W
YDL052C	YGR103W
YMR011W	YGL043W
YDR063W	YLR088W
YDL123W	YFR021W
YER126C	YDL222C
YKL193C	YNL281W
YBL029C-A	YNL112W
YGR130C	YDR034W-B
YPL178W	YER040W
YOR042W	YCR030C
YOR094W	YMR261C
YKL171W	YJL053W
YMR250W	YLR262C
YDL135C	YDR060W
YKL051W	YKL054C
YHR170W	YLR413W
YCL055W	YLL043W
YGR128C	YCR030C
YPL112C	YER145C
YGR200C	YMR149W
YER052C	YLR100W
YNL247W	YNL016W
YMR054W	YDL088C
YOR145C	YBR041W
YNL138W	YNL197C
YGL108C	YPL101W
YNL106C	YBR009C
YPL086C	YDR293C
YGL084C	YLL001W
YLR413W	YLR027C
YJL053W	YCR005C
YFL047W	YML012W
YBR004C	YIL034C
YMR269W	YFL041W
YPL178W	YCR043C
YPL045W	YNL197C
YPR156C	YOR087W
YJL006C	YBR288C
YML012W	YLR432W
YDR101C	YER040W
YGL014W	YHR074W
YDL019C	YBR077C
YDR507C	YML016C
YOR357C	YDR398W
YNL238W	YJL148W
YKL004W	YIR001C
YHL002W	YMR261C
YPL263C	YPL101W
YLR206W	YOR165W
YBL039C	YGL108C
YFL005W	YGR028W
YER056C	YBR080C
YGR281W	YKR080W
YLR332W	YLL034C
YMR229C	YJR118C
YOR104W	YGR169C-A
YCR075C	YPL127C
YMR272C	YLR332W
YEL051W	YNL307C
YAL041W	YGR119C
YDR388W	YPR075C
YPR189W	YOR094W
YGL212W	YLR454W
YJL005W	YJR010C-A
YDL215C	YKL181W
YGR078C	YLL022C
YKL051W	YGR205W
YKL067W	YGR261C
YDR397C	YJR133W
YBR106W	YLR432W
YMR238W	YLR056W
YNL323W	YDR100W
YGL043W	YFR024C-A
YGR250C	YNL002C
YGR138C	YBL056W
YJR010C-A	YLR088W
YHR187W	YGR055W
YPR184W	YFR001W
YGR187C	YPR036W
YGL153W	YGL019W
YGL108C	YKR080W
YMR120C	YML038C
YDR497C	YER023W
YDR379W	YBR207W
YNR053C	YDR100W
YER126C	YGR020C
YOR341W	YLR270W
YGR187C	YLL012W
YKL054C	YAL029C
YDR329C	YDR093W
YPL265W	YLR420W
YNR031C	YKR080W
YNR031C	YCL039W
YJL148W	YOL061W
YPL086C	YJR040W
YPL119C	YJR010W
YGR187C	YMR011W
YPL263C	YPL116W
YJR133W	YML017W
YDR507C	YIL070C
YHR072W	YLL028W
YOR357C	YBR102C
YBL007C	YER002W
YDR331W	YPR016C
YPL145C	YBL026W
YKL041W	YFR003C
YBR009C	YHR094C
YML086C	YHR188C
YNL030W	YDR063W
YNL091W	YLR083C
YEL013W	YKL181W
YAR042W	YCR005C
YPR072W	YBR212W
YNL323W	YFL047W
YDL125C	YKR072C
YDR092W	YCL055W
YKL165C	YPR189W
YPR139C	YMR312W
YFR001W	YNL118C
YGR191W	YBR265W
YOL129W	YDR436W
YCR075C	YCR030C
YIR037W	YNR035C
YJL153C	YOR273C
YMR300C	YJL154C
YKL008C	YGL029W
YGR178C	YLR144C
YDL225W	YGR250C
YNL281W	YJL192C
YIL034C	YMR096W
YKL140W	YIL128W
YNL229C	YNL281W
YHR122W	YIR037W
YGR128C	YCR009C
YPL145C	YGL012W
YOR206W	YPR128C
YKL190W	YER159C
YOR061W	YHR187W
YHL029C	YLR172C
YDR427W	YJR068W
YPL116W	YKR088C
YKR035W-A	YNL084C
YLR371W	YPL221W
YGL077C	YCR093W
YBL033C	YGL178W
YEL017W	YKL080W
YPR016C	YGL070C
YGR178C	YHR096C
YGL040C	YGR036C
YGR028W	YPR113W
YKR071C	YIL068C
YHR096C	YMR152W
YKL013C	YCR021C
YPR055W	YER166W
YNL153C	YBL102W
YBR207W	YHR121W
YPR138C	YKL078W
YNL091W	YGL084C
YHR135C	YBR244W
YKL080W	YDR093W
YNL112W	YLR360W
YDR293C	YKR080W
YKR003W	YIR012W
YMR105C	YLR371W
YDL204W	YLR191W
YER166W	YOL147C
YPL195W	YKL041W
YDR170C	YGR187C
YER090W	YNL243W
YKR048C	YBR207W
YOL100W	YOR039W
YML058W-A	YDL058W
YKL159C	YOL137W
YGR271W	YDR265W
YPR113W	YOR326W
YMR096W	YOR362C
YDL002C	YDR098C
YLR196W	YBL051C
YMR238W	YLR219W
YDL224C	YNL255C
YGR054W	YJR076C
YGR159C	YGR138C
YNL214W	YHL011C
YNL130C	YIL034C
YLL048C	YDR011W
YPR016C	YOR042W
YPL087W	YDL199C
YGL137W	YGL001C
YNL031C	YHL007C
YGL070C	YNL247W
YIL009W	YPR184W
YGL203C	YBR213W
YDR363W-A	YKR058W
YJL192C	YMR140W
YBR068C	YLR100W
YLR110C	YPL112C
YML035C	YNL130C
YMR250W	YDL165W
YHR188C	YDR517W
YDR284C	YNL265C
YLR326W	YNL041C
YNL002C	YCL063W
YLR006C	YLR181C
YBR265W	YNL214W
YJR010W	YJL061W
YJR060W	YFL036W
YML018C	YOR069W
YPL086C	YLR100W
YHR196W	YBR288C
YFL038C	YKL008C
YMR300C	YGR281W
YMR120C	YMR011W
YOL100W	YML093W
YNR028W	YJL020C
YHR096C	YDR397C
YFR003C	YLR397C
YGR103W	YJL053W
YMR231W	YBL051C
YLR432W	YKR035W-A
YMR292W	YCL039W
YHR003C	YJR118C
YGL137W	YPR010C
YPL178W	YOR270C
YPL178W	YGR169C-A
YKR071C	YER040W
YOR370C	YNL118C
YMR058W	YOR039W
YNL110C	YGL011C
YOR153W	YLR025W
YKL172W	YGR159C
YGL040C	YNR049C
YIL034C	YDR265W
YGL212W	YJL178C
YDR264C	YKL172W
YIL138C	YDL131W
YLL028W	YDR385W
YKR007W	YDR068W
YHR063C	YKR088C
YHR110W	YGR020C
YIL043C	YIL035C
YGL048C	YBR009C
YDR397C	YDR170C
YGR128C	YFL041W
YHR016C	YKL013C
YGR103W	YOR181W
YOR323C	YGL049C
YJL178C	YLL001W
YPR138C	YHR016C
YDR507C	YIL038C
YPR079W	YBL102W
YHR001W	YMR120C
YCR043C	YMR300C
YNL031C	YOR104W
YJL016W	YGR037C
YBR077C	YKL041W
YOR370C	YHR098C
YER099C	YBR241C
YPL116W	YDL058W
YPL221W	YJL016W
YMR269W	YLR028C
YHR052W	YDR284C
YGL011C	YDL182W
YGR169C-A	YHR003C
YKL054C	YJL053W
YIL033C	YGR200C
YCR095C	YKL004W
YGL023C	YDR378C
YML093W	YML057W
YNL147W	YML086C
YER063W	YJL164C
YLR219W	YHR052W
YMR093W	YDR189W
YCR005C	YDR202C
YHR012W	YML013W
YGL029W	YBR244W
YBR052C	YER035W
YKL054C	YDR381C-A
YDR486C	YGR119C
YGR055W	YOR357C
YDL165W	YOR061W
YMR192W	YMR047C
YLL021W	YKL171W
YBL017C	YPL116W
YOR206W	YBR102C
YPL101W	YDR032C
YLL034C	YGL242C
YJR068W	YPR055W
YJL164C	YDR100W
YDL147W	YOR133W
YMR004W	YML075C
YGR036C	YGL195W
YLR025W	YOR132W
YBL051C	YHR121W
YOR117W	YHR052W
YGR284C	YIL068C
YDL182W	YLR413W
YML093W	YPR189W
YGR178C	YDR293C
YLR326W	YIL009W
YBR213W	YHR063C
YKL067W	YHR122W
YOL137W	YLR219W
YHR123W	YBR006W
YML031W	YLR262C
YDR486C	YPL145C
YFR021W	YNL153C
YOR181W	YFL048C
YPR156C	YLR196W
YPL221W	YLR133W
YOR133W	YDR320C
YDR032C	YIL115C
YDR378C	YGL153W
YMR300C	YLR056W
YNR031C	YBR234C
YLR262C	YHR123W
YPL004C	YIL070C
YIL062C	YKL165C
YIL035C	YMR140W
YML018C	YPR189W
YIL115C	YBR288C
YOR340C	YMR010W
YIL038C	YPR105C
YML106W	YOR341W
YDR497C	YGR078C
YBR130C	YEL002C
YNL313C	YIL070C
YBL056W	YGL099W
YDR101C	YPR029C
YPL127C	YLR319C
YDR098C	YOR362C
YGR080W	YDR166C
YPR029C	YLR100W
